pit_tag_number,event,alanine_aminotransferase,albumin,alkaline_phosphatase,aspartate_aminotransferase,bilirubin,buffy_coat_thickness,c-reactive_protein,calcium,chloride,cholesterol,cortisol,creatine_phosphokinase,creatinine,globulin,glucose,glutamate_dehydrogenase,haematocrit,haemoglobin,haptoglobin,lymphocytes_abs,magnesium,monocytes_abs,neutrophils_abs,phosphate,potassium,prostaglandin_e2,sodium,thick_buffy_coat,total_protein,triglycerides,urea,white_blood_cell_count,temperature_celsius,satiation_ration,ratioAlbuminGlobulin,ratioNeutrophilslymphocytes,meanCorHaeCon,general_health_classification
900008800750612,5,6,18,17,231,0,1,0.87,2.51,132,6.8,84.2,9768,11,20,3.99,109.2,36,,5.36,15.6,1.12,0,0.6,2.46,4.48,74.7,156,0,38,0.84,0.7,16.2,17,80,0.9,0.0384615384615385,,0
900008800750618,3,10,17,40,382,0,1,1.54,2.74,129,12.3,317,13975,21,25,3.62,168,42,,12.06,22.8,0.99,0,0.2,3.61,3.73,75.95,159,1,42,1.45,0.7,23,13,100,0.68,0.0087719298245614,,1
900008800750623,5,7,16,19,206,0,3,0.77,2.99,135,7.3,505,4479,9,19,6.2,115.3,36,,8.23,29,1.07,0,0.6,2.75,5.46,63.2,167,0,35,0.88,0.9,29.6,17,80,0.842105263157895,0.0206896551724138,,1
900008800750670,5,3,18,26,245,0,1,0.32,3.35,149,10,326,1494,15,24,5.13,155.1,35,98,7.39,18.4,1.16,0.2,0.8,3.88,5.09,64.6,184,0,42,1.85,1.1,19.4,17,60,0.75,0.0434782608695652,28,1
900008800750749,3,5,15,20,353,0,1,0.8,2.92,143,8.5,377,1806,12,19,5.18,76.4,35.5,,16.46,30.9,1.05,0,0.3,3.4,3.72,75.19,171,1,33,0.96,0.5,31.2,17,60,0.789473684210526,0.00970873786407767,,1
900008800750765,5,12,14,19,292,0,0,,2.69,133,6.7,206,7309,17,21,6.37,139.6,36,87,,12,1.06,0.1,0.2,2.83,4.87,68.4,159,0,35,0.87,1,12.4,17,60,0.666666666666667,0.0166666666666667,24.1666666666667,0
900008800750785,5,6,12,4,158,0,0,1.48,2.39,142,3.5,17.3,4221,24,13,3.62,25.4,34,104,12.6,19.4,1,0,0.8,3.06,4.59,53.1,160,1,25,1.09,0.9,20.2,17,80,0.923076923076923,0.0412371134020619,30.5882352941177,0
900008800750790,5,4,15,13,301,0,2,1.31,3.15,146,6.2,99,879,10,24,5.51,77.6,39,102,13.73,19.6,1.24,0,0.4,3.19,4.36,61.2,177,0,40,1.08,1.2,20,17,60,0.625,0.0204081632653061,26.1538461538462,0
900008800750828,5,1,17,20,163,0,3,0.83,3.01,140,7.3,555,434,17,20,6.42,78.6,37,97,16.24,33.3,1.27,0.3,0.3,3.58,4.83,125.5,172,0,37,1.62,0.7,34,17,100,0.85,0.00900900900900901,26.2162162162162,0
900008800750856,3,6,13,26,274,0,1,0.64,2.51,133,9,406,4309,21,18,4.34,95.6,41,,9.32,20.3,0.89,0.2,1.3,3.35,3.09,63.59,160,1,31,1.5,0.5,21.8,13,100,0.722222222222222,0.0640394088669951,,1
900008800750885,3,6,19,43,306,0,1,1.75,3.44,138,10.3,418,2897,28,29,5.17,163.2,42,,9.9,43.9,1.26,0,2.3,4.42,4.46,83.11,175,1,47,2.19,0.8,46.2,13,100,0.655172413793103,0.0523917995444191,,1
900008800750964,3,7,17,28,296,0,1,1.5,3.01,135,9.1,368,7937,17,20,4.73,50,38.5,,10.29,18,1.24,0.2,0.6,3.56,4.72,61.98,166,1,37,2.67,0.4,18.8,17,80,0.85,0.0333333333333333,,1
900008800750976,3,4,16,23,219,0,0,2.711,2.59,137,8.6,426,870,18,18,4.68,103.7,33.5,,16.18,14.6,1.03,0.2,0.5,2.82,3.96,64.21,164,1,34,1.8,0.4,15.2,17,60,0.888888888888889,0.0342465753424658,,1
900008800751006,3,10,19,29,435,0,0,1.2,3.38,136,9.5,228,7921,12,25,4.68,114.5,38.5,,10.42,21.2,1.31,0,0.4,3.48,3.49,89.81,175,1,44,2.56,0.8,21.6,17,100,0.76,0.0188679245283019,,1
900008800751029,5,3,14,23,247,0,2,1.09,2.68,139,6.6,282,84,19,20,5.28,126.5,38,110,14.56,13.9,1.09,0,0.1,2.87,3.61,79.8,168,0,34,1.24,0.9,14,17,60,0.7,0.00719424460431655,28.9473684210526,0
900008800751045,3,4,16,33,268,0,1,2.89,2.55,134,8.8,228,2576,7,24,3.85,149.9,36,,9.86,36,0.87,0,0.4,2.74,3,82.44,161,1,39,0.85,0.4,36.4,13,60,0.666666666666667,0.0111111111111111,,0
900008800751051,3,3,16,24,201,0,0,1.94,2.68,135,7.7,278,1759,10,19,4.64,54.1,38.5,,13.39,22.9,1.01,0,0.5,2.95,3.33,71.42,162,1,34,0.76,0.3,23.4,17,80,0.842105263157895,0.0218340611353712,,1
900008800751054,5,10,15,16,234,0,2,0.99,2.64,139,6.8,289,4544,19,17,5.39,40.5,35,102,10.22,17,0.97,0,0,3.37,4.72,72.6,163,1,32,0.56,1.4,17,17,80,0.882352941176471,0,29.1428571428571,1
900008800751073,5,4,18,21,326,0,0,1.07,2.83,130,7.1,90.2,297,14,20,6.74,99,35,91,14.9,6.4,1.16,0.4,0.3,3.81,4.83,62.6,164,0,37,1.25,0.9,7,17,100,0.9,0.046875,26,0
